name,tier,crystal_addr,⊢,⊣,>,<,⋈,⊤,∈,ɢ,⊙,Ħ,Σ,Ω
diamagnetism,O_1,746884,1,1,4,3,1,5,2,1,1,1,2,1
spin_glass,O_0,654940,1,1,4,1,1,3,2,1,3,3,2,1
skyrmion,O_0,5076550,2,1,4,3,2,3,3,1,2,2,3,3
standard_proof_system,O_1,7270080,2,4,2,4,1,5,2,1,1,1,1,1
hodge_conjecture,O_0,16638344,4,5,2,1,1,3,1,3,2.33,1,3,1
p_vs_np,O_0,2928,1,1,1,1,1,2,1,1,2,1,1,1
navier_stokes,O_0,9080708,3,1,3,1,1,4,1,1,2,2,3,1
penrose_black_hole,O_0,17015854,4,5,3,4,3,4,1,4,2,4,3,3
topological_critical_material,O_0,17015853,4,5,3,4,3,4,1,4,2,4,3,2
quantum_hall_critical,O_0,17015854,4,5,3,4,3,4,1,4,2,4,3,3
penrose_material_imscription,O_0,17015854,4,5,3,4,3,4,1,4,2,4,3,3
relational_existence,O_0,9095824,3,1,3,1,2,4,1,4,2,2,2,1
extradimensional_entity,O_inf,16580398,4,5,1,4,3,3,1,1,3,4,3,3
extrauniversal_entity,O_0,11452320,3,4,2,1,1,2,2,3,1,1,1,1
maximal_system,O_inf,17229118,4,5,4,4,3,3,1,4,3,4,3,3
dark_energy_inflaton_meet,O_0,17012965,4,5,3,4,3,3,1,4,2,4,1,2
de_inf_join,O_0,17012973,4,5,3,4,3,3,1,4,2,4,3,2
triple_join_de_inf_ax,O_0,17228974,4,5,4,4,3,3,1,4,2,4,3,3
quad_join_de_inf_ax_higgs,O_0,17228974,4,5,4,4,3,3,1,4,2,4,3,3
all_five_join,O_0,17228974,4,5,4,4,3,3,1,4,2,4,3,3
omg_particle,O_0,9112992,3,1,3,1,3,5,1,3,3,1,1,1
wow_signal,O_0,9300288,3,1,4,1,1,5,1,4,2,1,1,1
dark_matter_generic,O_0,2844484,1,4,2,1,3,3,3,1,1,1,2,1
six_meet_de_inf_ax_higgs_grav_dm,O_0,1983360,1,3,2,1,3,4,3,1,1,1,1,1
seven_meet_de_inf_ax_higgs_grav_dm_omg,O_0,258240,1,1,2,1,3,5,3,1,1,1,1,1
eight_meet_de_inf_ax_higgs_grav_dm_omg_wow,O_0,229440,1,1,2,1,1,5,3,1,1,1,1,1
nine_system_meet,O_0,229440,1,1,2,1,1,5,3,1,1,1,1,1
six_join_de_inf_ax_higgs_grav_dm,O_0,17228974,4,5,4,4,3,3,1,4,2,4,3,3
seven_join_de_inf_ax_higgs_grav_dm_omg,O_inf,17229118,4,5,4,4,3,3,1,4,3,4,3,3
eight_join_de_inf_ax_higgs_grav_dm_omg_wow,O_inf,17229118,4,5,4,4,3,3,1,4,3,4,3,3
nine_system_join,O_inf,17229118,4,5,4,4,3,3,1,4,3,4,3,3
seti_signal_generic,O_0,9300240,3,1,4,1,1,5,1,4,1,1,1,1
pulsar_radio,O_1,6578640,2,3,3,3,1,5,1,4,1,1,1,1
generic_astrophysical_source,O_0,445976,1,1,3,1,1,5,3,3,2,1,3,1
omg_peeled_D,O_0,472992,1,1,3,1,3,5,1,3,3,1,1,1
systemic_feminization,O_0,12678561,3,5,3,4,2,3,1,4,2,3,3,2
local_testicular_function,O_0,2849280,1,4,2,1,3,5,2,1,1,1,1,1
feminization_with_testicular_preservation,O_0,12692961,3,5,3,4,3,3,1,4,2,3,3,2
partial_feminization_preserved_testicular,O_0,12548961,3,5,3,1,2,3,1,4,2,3,3,2
aromatase_thioesterase_ii,O_0,3065760,1,4,3,1,3,5,2,3,1,1,1,1
androgen_binding_sequestration,O_0,2849288,1,4,2,1,3,5,2,1,1,1,3,1
combined_biochemical_approach,O_0,3065768,1,4,3,1,3,5,2,3,1,1,3,1
mystery_material,O_0,4539845,2,1,2,1,1,2,2,1,1,1,2,2
graphene,O_1,385925,1,1,2,4,3,5,1,1,1,1,2,2
iron,O_0,5741829,2,2,3,3,3,4,3,1,2,2,3,2
graphite,O_1,4678084,2,1,2,4,1,5,2,1,1,1,2,1
reduced_graphene_oxide,O_0,4545604,2,1,2,1,1,4,2,1,1,1,2,1
quantum_spin_liquid,O_0,5002637,2,1,4,1,3,3,1,1,2,3,2,2
topological_carbon_allotrope,O_0,4539845,2,1,2,1,1,2,2,1,1,1,2,2
radical_chemistry_current,O_0,445400,1,1,3,1,1,5,2,4,3,1,3,1
hydroxyl_radical,O_0,445392,1,1,3,1,1,5,2,4,3,1,1,1
superoxide_radical,O_0,445392,1,1,3,1,1,5,2,4,3,1,1,1
metamaterial_generic,O_0,4647425,2,1,2,3,2,4,3,1,2,2,2,2
paper,O_0,228484,1,1,2,1,1,5,2,1,1,1,2,1
plastic,O_0,228484,1,1,2,1,1,5,2,1,1,1,2,1
copper,O_1,358084,1,1,2,4,1,5,2,1,1,1,2,1
paper_origami_metamaterial,O_0,4633025,2,1,2,3,1,4,3,1,2,2,2,2
plastic_photonic_crystal,O_0,4647425,2,1,2,3,2,4,3,1,2,2,2,2
copper_split_ring_resonator,O_0,4647425,2,1,2,3,2,4,3,1,2,2,2,2
sand_architected_foam,O_0,4633025,2,1,2,3,1,4,3,1,2,2,2,2
water_droplet_lens_array,O_0,4633025,2,1,2,3,1,4,3,1,2,2,2,2
salt_crystal_phononic,O_0,4633025,2,1,2,3,1,4,3,1,2,2,2,2
common_materials_topo_insulator,O_0,8317518,2,5,3,3,2,4,1,1,2,3,2,3
ten_sefirot,O_0,6816573,2,3,4,3,3,2,3,3,2,4,3,2
nine_sefirot,O_1,16580669,4,5,1,4,3,3,1,3,1,3,2,2
eleven_sefirot,O_inf,16580874,4,5,1,4,3,3,1,3,3,4,2,3
chokhmah,O_0,5095501,2,1,4,3,3,5,1,4,2,2,1,2
word_logos,O_0,17099134,4,5,4,1,3,3,1,3,2,4,3,3
creator_ein_sof,O_0,12260970,3,5,1,4,3,3,1,4,2,4,2,3
word_creator_tensor,O_0,17099374,4,5,4,1,3,3,1,4,2,4,3,3
i_ching_hexagrams,O_0,7239905,2,4,2,3,2,4,3,3,2,2,2,2
tarot_archetypes,O_0,228728,1,1,2,1,1,5,2,2,1,1,3,1
vedic_mandalas,O_0,16580970,4,5,1,4,3,3,1,4,2,4,2,3
meet_sefirot_iching,O_0,7023905,2,4,1,3,2,4,3,3,2,2,2,2
three_way_meet,O_0,12724,1,1,1,1,1,5,2,2,1,1,2,1
join_sefirot_iching,O_0,16796730,4,5,2,4,3,3,1,3,2,4,2,3
three_way_join,O_0,16796734,4,5,2,4,3,3,1,3,2,4,3,3
aleph,O_0,2756246,1,4,1,4,3,3,1,1,2,4,1,3
bet,O_1,7239377,2,4,2,3,2,4,3,1,1,2,2,2
gimel,O_0,2388960,1,3,4,1,1,5,2,3,1,1,1,1
dalet,O_0,3252960,1,4,4,1,1,5,2,3,1,1,1,1
hei,O_0,2919421,1,4,2,3,2,4,3,1,2,2,1,2
zayin,O_0,660972,1,1,4,1,1,5,2,3,1,2,1,1
chet,O_1,7023377,2,4,1,3,2,4,3,1,1,2,2,2
tet,O_0,2429304,1,3,4,2,1,4,2,3,1,3,1,1
yod,O_0,2756246,1,4,1,4,3,3,1,1,2,4,1,3
aleph_bet_meet,O_1,2703373,1,4,1,3,2,4,3,1,1,2,1,2
kaf,O_1,7239377,2,4,2,3,2,4,3,1,1,2,2,2
lamed,O_0,759900,1,1,4,3,2,4,3,3,2,2,1,1
mem,O_inf,5824158,2,2,3,5,3,3,1,4,2,3,2,3
nun,O_1,8737920,3,1,1,3,1,5,1,1,1,1,1,1
samech,O_0,2756221,1,4,1,4,3,3,1,1,2,2,1,2
ayin,O_0,2756246,1,4,1,4,3,3,1,1,2,4,1,3
pei,O_0,7686545,2,4,4,3,3,4,3,4,2,2,2,2
tzadi,O_0,2386092,1,3,4,1,1,4,2,3,1,2,1,1
kuf,O_0,7292226,2,4,2,4,3,3,1,1,2,2,2,3
resh,O_0,228960,1,1,2,1,1,5,2,3,1,1,1,1
shin,O_inf,6688170,2,3,3,5,3,3,1,4,2,4,2,3
tav,O_0,7292250,2,4,2,4,3,3,1,1,2,4,2,3
aleph_bet_meet_result,O_1,2703373,1,4,1,3,2,4,3,1,1,2,1,2
hebrew_core_structure,O_0,1740480,1,3,1,1,1,5,2,1,1,1,1,1
shavian_peep,O_0,2388960,1,3,4,1,1,5,2,3,1,1,1,1
shavian_ash,O_1,2734080,1,4,1,4,1,5,2,1,1,1,1,1
shavian_ef,O_0,2388960,1,3,4,1,1,5,2,3,1,1,1,1
shavian_em,O_1,2734080,1,4,1,4,1,5,2,1,1,1,1,1
shavian_bee,O_0,2388960,1,3,4,1,1,5,2,3,1,1,1,1
shavian_ee,O_1,2734080,1,4,1,4,1,5,2,1,1,1,1,1
shavian_tall_tee,O_0,2388960,1,3,4,1,1,5,2,3,1,1,1,1
shavian_deep_dee,O_0,2388960,1,3,4,1,1,5,2,3,1,1,1,1
shavian_consonant_approximant_meet,O_0,228720,1,1,2,1,1,5,2,2,1,1,1,1
shavian_quintessence,O_0,12480,1,1,1,1,1,5,2,1,1,1,1,1
hekhalot_rabbati,O_0,9524721,3,2,1,1,2,3,1,3,2,3,3,2
hekhalot_zutarti,O_0,9524721,3,2,1,1,2,3,1,3,2,3,3,2
sefer_hekhalot,O_0,9524733,3,2,1,1,2,3,1,3,2,4,3,2
maaseh_merkavah,O_0,9524713,3,2,1,1,2,3,1,3,2,3,1,2
merkavah_rabba,O_0,9524721,3,2,1,1,2,3,1,3,2,3,3,2
shiur_qomah,O_0,9740241,3,2,2,1,2,3,1,1,2,3,3,2
sar_torah,O_0,9524953,3,2,1,1,2,3,1,4,2,3,1,2
sefer_harazim,O_0,9740241,3,2,2,1,2,3,1,1,2,3,3,2
harba_de_moshe,O_0,9740241,3,2,2,1,2,3,1,1,2,3,3,2
nehuniah_chapter,O_0,9524713,3,2,1,1,2,3,1,3,2,3,1,2
great_seal_fearsome_crown,O_0,9740241,3,2,2,1,2,3,1,1,2,3,3,2
sar_panim,O_0,9524953,3,2,1,1,2,3,1,4,2,3,1,2
tokamak_fusion,O_0,2972226,1,4,2,4,3,3,1,1,2,2,2,3
inertial_confinement_fusion,O_0,3195412,1,4,3,4,3,5,2,3,2,1,2,1
consumer_drone,O_0,660972,1,1,4,1,1,5,2,3,1,2,1,1
fiber_laser_cutting,O_1,3411360,1,4,4,4,3,5,2,3,1,1,1,1
ultrafast_laser,O_0,3195410,1,4,3,4,3,5,2,3,2,1,1,3
stellarator_fusion,O_0,8156238,2,5,2,4,3,3,1,1,2,3,2,3
directed_energy_weapon,O_0,2416850,1,3,4,1,3,5,1,3,2,1,1,3
maximal_fusion_growth,O_0,17012254,4,5,3,4,3,3,1,1,2,4,3,3
maximal_drone_growth,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
maximal_laser_growth,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
tae_technologies_fusion,O_0,8375122,2,5,3,4,3,4,1,1,2,3,3,3
commonwealth_fusion,O_0,2972226,1,4,2,4,3,3,1,1,2,2,2,3
zephyr_solar_drone,O_0,9294504,3,1,4,1,1,3,1,4,1,3,1,1
skydio_autonomous_drone,O_0,8236381,2,5,3,1,2,5,3,3,2,2,1,2
wing_delivery_drone,O_0,660968,1,1,4,1,1,5,2,3,1,1,3,1
ipg_photonics_fiber_laser,O_1,2978880,1,4,2,4,3,5,2,1,1,1,1,1
coherent_vcsels,O_1,2964484,1,4,2,4,2,5,2,1,1,1,2,1
quantum_dot_lasers,O_0,7297025,2,4,2,4,3,4,3,1,2,2,2,2
general_fusion,O_0,2979424,1,4,2,4,3,5,2,3,2,2,2,1
aluminum,O_1,358084,1,1,2,4,1,5,2,1,1,1,2,1
generic_environment,O_1,358084,1,1,2,4,1,5,2,1,1,1,2,1
chronovisor,O_0,12566254,3,5,3,1,3,4,1,4,2,4,3,3
possible_temporal_device,O_0,17001442,4,5,3,4,2,4,1,4,2,3,3,3
dji_consumer_drone,O_0,660972,1,1,4,1,1,5,2,3,1,2,1,1
parrot_consumer_drone,O_0,660960,1,1,4,1,1,5,2,3,1,1,1,1
nlight_fiber_laser,O_1,2978880,1,4,2,4,3,5,2,1,1,1,1,1
mks_instruments_laser,O_1,2964480,1,4,2,4,2,5,2,1,1,1,1,1
quantum_cascade_laser_rd,O_0,7297025,2,4,2,4,3,4,3,1,2,2,2,2
holographic_laser_rd,O_0,17015842,4,5,3,4,3,4,1,4,2,3,3,3
superconducting_qubits,O_0,257280,1,1,2,1,3,5,2,1,1,1,1,1
trapped_ion_qubits,O_1,2976000,1,4,2,4,3,4,2,1,1,1,1,1
photonics_quantum,O_1,775200,1,1,4,3,3,5,1,3,1,1,1,1
topological_qubits,O_0,8375842,2,5,3,4,3,4,1,4,2,3,3,3
quantum_annealing,O_0,21184,1,1,1,1,2,3,2,1,2,2,2,1
maximal_quantum_growth,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
topological_qubits_rd,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
trapped_ion_rd,O_0,7297025,2,4,2,4,3,4,3,1,2,2,2,2
photonics_quantum_rd,O_0,5092385,2,1,4,3,3,4,1,3,2,2,2,2
neutral_atom_qubits,O_0,254404,1,1,2,1,3,4,2,1,1,1,2,1
bcs_superconductivity,O_1,2964480,1,4,2,4,2,5,2,1,1,1,1,1
carbon_ferromagnetism,O_0,4539845,2,1,2,1,1,2,2,1,1,1,2,2
c_h_activation_current,O_0,445160,1,1,3,1,1,5,2,3,3,1,3,1
asymmetric_catalysis_current,O_0,445160,1,1,3,1,1,5,2,3,3,1,3,1
natural_product_synthesis_current,O_0,439232,1,1,3,1,1,3,2,3,1,3,3,1
topological_skyrmion_liquid,O_0,8458638,2,5,4,1,3,3,1,1,2,3,2,3
chiral_many_body_magnet,O_0,6700073,2,3,4,1,1,2,2,1,3,4,2,2
carbon_spin_glass,O_0,5003741,2,1,4,1,3,3,2,1,3,3,2,2
carbon_nanoribbon_spin_glass,O_0,8457341,2,5,4,1,3,2,2,3,3,3,2,2
boron_elemental,O_0,242884,1,1,2,1,2,5,2,1,1,1,2,1
boron_metamaterial_generic,O_0,4647425,2,1,2,3,2,4,3,1,2,2,2,2
boron_nitride,O_1,4649284,2,1,2,3,2,5,2,1,1,1,2,1
boron_nitride_nanomesh,O_0,4647425,2,1,2,3,2,4,3,1,2,2,2,2
boron_carbide,O_0,228484,1,1,2,1,1,5,2,1,1,1,2,1
boron_carbide_lattice,O_0,4633025,2,1,2,3,1,4,3,1,2,2,2,2
boron_topological_insulator,O_0,17185518,4,5,4,3,3,3,1,3,2,3,2,3
hydrogen,O_0,2849280,1,4,2,1,3,5,2,1,1,1,1,1
helium,O_1,2978880,1,4,2,4,3,5,2,1,1,1,1,1
lithium,O_0,3065808,1,4,3,1,3,5,2,3,2,1,1,1
gold,O_1,7298880,2,4,2,4,3,5,2,1,1,1,1,1
uranium,O_0,10835278,3,3,3,1,3,3,1,3,3,4,3,3
oxygen,O_0,4881172,2,1,3,3,3,5,3,3,2,1,2,1
elemental_mercury,O_0,2834884,1,4,2,1,2,5,2,1,1,1,2,1
helium_superfluid,O_0,11612730,3,4,2,4,3,3,1,3,2,4,2,3
bismuth_unusual,O_0,6721025,2,3,4,1,2,4,3,1,2,2,2,2
diamond_unusual,O_0,4922466,2,1,3,4,3,5,1,3,2,2,2,3
helium_normal,O_1,358084,1,1,2,4,1,5,2,1,1,1,2,1
bismuth_normal,O_0,228484,1,1,2,1,1,5,2,1,1,1,2,1
gallium_normal,O_0,228484,1,1,2,1,1,5,2,1,1,1,2,1
plutonium_normal,O_0,9108712,3,1,3,1,3,3,3,1,3,4,2,1
meet_he_bi,O_0,6289025,2,3,2,1,2,4,3,1,2,2,2,2
meet_he_bi_ga,O_0,1970884,1,3,2,1,2,5,2,1,1,1,2,1
meet_he_bi_ga_di,O_0,242884,1,1,2,1,2,5,2,1,1,1,2,1
sodium_explosive,O_0,6506612,2,3,3,1,2,5,1,3,3,2,3,1
molecular_orbital_theory,O_0,16799094,4,5,2,4,3,4,1,1,2,1,2,3
valence_bond_theory,O_0,228480,1,1,2,1,1,5,2,1,1,1,1,1
homo_lumo,O_0,17231586,4,5,4,4,3,4,1,3,2,2,2,3
photosynthesis,O_0,5640548,2,2,3,1,2,4,2,3,2,2,3,1
electron_transport_chain,O_0,459408,1,1,3,1,2,5,2,3,2,1,1,1
thylakoid_membrane,O_0,5433188,2,2,2,1,3,2,2,3,2,2,3,1
photosystem_II,O_0,5433180,2,2,2,1,3,2,2,3,2,2,1,1
artificial_leaf,O_0,240240,1,1,2,1,2,4,2,2,1,1,1,1
yhwh,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
aleph_tav_join,O_0,7292250,2,4,2,4,3,3,1,1,2,4,2,3
plasma_generic,O_1,9170644,3,1,3,3,1,5,1,4,1,1,2,1
palomar_transient_factory,O_0,8868260,3,1,2,1,1,5,1,4,1,2,3,1
fermi_paradox,O_0,10592708,3,3,2,1,1,4,1,1,2,2,3,1
drake_equation,O_1,8997124,3,1,2,4,1,5,1,1,1,1,2,1
great_filter,O_0,11021845,3,3,4,1,1,3,1,1,2,4,1,2
humanity_current,O_0,225620,1,1,2,1,1,4,2,1,1,2,3,1
interstellar_civilization,O_0,17018730,4,5,3,4,3,5,1,4,2,4,2,3
paradox_resolution,O_inf,17018874,4,5,3,4,3,5,1,4,3,4,2,3
detection_generic,O_0,9300000,3,1,4,1,1,5,1,3,1,1,1,1
extragalactic_entity,O_0,17012970,4,5,3,4,3,3,1,4,2,4,2,3
classical_cantor_diagonal,O_0,8652000,3,1,1,1,1,5,1,3,1,1,1,1
constructive_mathematics,O_0,2814732,1,4,2,1,1,3,2,1,1,2,1,1
ford_circles,O_0,5540226,2,2,2,4,1,4,3,1,2,2,2,3
stern_brocot_tree,O_0,5540718,2,2,2,4,1,4,3,3,2,3,2,3
countability_concept,O_0,8652000,3,1,1,1,1,5,1,3,1,1,1,1
infinite_set_mappings,O_0,8652000,3,1,1,1,1,5,1,3,1,1,1,1
massaged_definitions,O_0,10630704,3,3,2,2,1,2,1,3,2.67,1,1,1
fractal_structure,O_0,13962798,4,2,1,4,1,4,1,3,2,3,2,3
constructive_countability,O_0,2814744,1,4,2,1,1,3,2,1,1,3,1,1
tao,O_0,17012970,4,5,3,4,3,3,1,4,2,4,2,3
ads_cft_duality,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
quantum_simulator_generic,O_0,4835056,2,1,3,2,3,4,3,3,1,2,2,1
superconducting_qubits_simulator,O_0,473764,1,1,3,1,3,5,2,3,1,1,2,1
trapped_ion_simulator,O_0,5699296,2,2,3,2,3,4,3,4,1,2,2,1
majorana_qubit_simulator,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
fractional_quantum_hall_simulator,O_0,17012974,4,5,3,4,3,3,1,4,2,4,3,3
controlled_differentiation,O_0,669189,1,1,4,1,2,3,2,1,2,2,3,2
enhanced_perception,O_0,17012250,4,5,3,4,3,3,1,1,2,4,2,3
human_cognition_baseline,O_0,4546096,2,1,2,1,1,4,2,3,1,2,2,1
enhanced_cognition,O_0,17012970,4,5,3,4,3,3,1,4,2,4,2,3
bioelectricity_levin,O_0,4864148,2,1,3,3,2,4,3,4,2,2,3,1
biomagnetism,O_0,4979288,2,1,4,1,1,4,3,4,1,1,3,1
magnetoreception,O_0,5857500,2,2,4,1,2,4,3,3,2,2,1,1
heart_electromagnetic,O_1,7443604,2,4,3,3,1,5,2,4,1,1,2,1
quantum_bioelectromagnetism,O_2†,16969822,4,5,3,3,3,3,1,4,2.33,4,3,3
bioelectromagnetic_floor,O_0,4763288,2,1,3,1,1,4,3,4,1,1,3,1
lee_yang_edge,O_2,1509237,1,2,3,5,3,5,1,1,2.33,2,3,2
vav,O_inf,828540,1,1,4,5,1,3,3,1,2,2,1,1
kozyrev_mirror,O_inf,1057042,1,2,1,5,2,3,1,1,2,3,3,3
exotic_mathematics,O_inf,12507442,3,5,2,5,2,3,3,3,2,3,3,3
ising_3d,O_inf,213169,1,1,1,5,3,5,1,1,2,1,1,2
exceptional_point_nh,O_2,2364646,1,3,3,5,3,2,1,1,2.67,2,3,3
complex_rg_fixed_point,O_2,1503958,1,2,3,5,3,3,1,3,2.33,2,3,3
spiral_aluminum_structure,O_inf,1042634,1,2,1,5,1,3,1,1,2,3,1,3
environment_affected_by_kozyrev,O_inf,194710,1,1,1,5,2,3,2,4,2,2,3,3
bloop,O_0,9084288,3,1,3,1,1,5,1,4,2,1,1,1
icequake,O_0,445248,1,1,3,1,1,5,2,4,2,1,1,1
blue_whale_vocalization,O_0,9084252,3,1,3,1,1,5,1,4,1,2,1,1
unknown_marine_creature,O_0,9084312,3,1,3,1,1,5,1,4,2,3,1,1
continuous_function,O_1,8997600,3,1,2,4,1,5,1,3,1,1,1,1
lagrangian,O_0,9210780,3,1,3,4,1,4,1,3,2,2,1,1
hamiltonian,O_0,9210784,3,1,3,4,1,4,1,3,2,2,2,1
mathematics,O_0,12908722,3,5,4,4,3,3,1,3,2,3,3,3
physical_reality,O_0,12609213,3,5,3,2,3,4,1,3,2,4,3,2
mathematical_physics,O_0,12692710,3,5,3,4,3,3,1,3,2,2,3,3
thermodynamic_entropy,O_inf,358312,1,1,2,4,1,5,2,1,3,4,2,1
shannon_information,O_1,358084,1,1,2,4,1,5,2,1,1,1,2,1
negentropy,O_1,358120,1,1,2,4,1,5,2,1,1,4,2,1
mutual_information,O_0,4679108,2,1,2,4,1,5,3,1,2,2,3,1
shannon_entropy,O_0,358144,1,1,2,4,1,5,2,1,2,2,2,1
kolmogorov_complexity,O_0,9726314,3,2,2,1,1,3,1,3,2,3,1,3
order_structure,O_1,5324189,2,2,1,4,1,4,3,1,1,3,2,2
max_sym_min_chirality,O_1,142080,1,1,1,4,1,5,2,1,1,1,1,1
min_sym_max_chirality,O_0,12516,1,1,1,1,1,5,2,1,1,4,1,1
critical_symmetric_timesymmetric,O_0,142128,1,1,1,4,1,5,2,1,2,1,1,1
critical_asymmetric_timedirected,O_0,12564,1,1,1,1,1,5,2,1,2,4,1,1
standard_type_theory,O_1,387360,1,1,2,4,3,5,2,3,1,1,1,1
photon_graviton_join,O_0,17012930,4,5,3,4,3,3,1,4,2,1,1,3
holographic_type_theory,O_inf,16407922,4,4,4,5,3,3,1,3,2,3,3,3
holographic_type_theory_frobenius,O_inf,17044625,4,5,3,5,2,4,1,4,2,2,2,2
IUG,O_inf,17271934,4,5,4,5,3,3,1,3,2,4,3,3
enstrophy,O_0,358168,1,1,2,4,1,5,2,1,2,4,2,1
enthalpy,O_1,358120,1,1,2,4,1,5,2,1,1,4,2,1
chaos,O_0,229192,1,1,2,1,1,5,2,3,3,4,2,1
cosmological_constant,O_0,17012965,4,5,3,4,3,3,1,4,2,4,1,2
axion,O_1,2930880,1,4,2,3,3,3,3,1,1,1,1,1
time_concept,O_0,9300036,3,1,4,1,1,5,1,3,1,4,1,1
turbulent_flow,O_0,9084236,3,1,3,1,1,5,1,3,3,4,3,1
entropy_concept,O_inf,358312,1,1,2,4,1,5,2,1,3,4,2,1
information_concept,O_1,358084,1,1,2,4,1,5,2,1,1,1,2,1
order_concept,O_1,5324189,2,2,1,4,1,4,3,1,1,3,2,2
psychedelic_bioelectric_tensor,O_0,13484957,4,1,3,3,1,3,1,4,2,3,2,2
psychedelic_topological_tensor,O_0,16943854,4,5,3,3,1,4,1,4,2,4,3,3
binaural_beats,O_0,2919909,1,4,2,3,2,4,3,3,2,2,3,2
transcranial_magnetic_stimulation,O_0,7458781,2,4,3,3,2,5,3,3,2,2,1,2
tms_bioelectric_tensor,O_0,16093277,4,4,3,3,2,3,3,4,2,3,2,2
sensory_deprivation,O_0,2598792,1,4,1,1,1,3,2,1,2,3,1,1
flicker_stimulation,O_0,747420,1,1,4,3,1,5,2,3,2,2,1,1
multimodal_resonance,O_0,4864157,2,1,3,3,2,4,3,4,2,3,2,2
topologically_protected_quantum_bioelectromagnetism,O_0,17012973,4,5,3,4,3,3,1,4,2,4,3,2
quantum_bioelectromagnetism_vav_tensor,O_0,17200173,4,5,4,4,1,3,1,4,2,4,3,2
cmb_cold_spot,O_0,11454572,3,4,2,1,1,3,1,4,2,4,3,1
cosmic_supervoid,O_0,11238524,3,4,1,1,1,3,1,4,1,4,3,1
cosmic_texture,O_0,17012966,4,5,3,4,3,3,1,4,2,4,1,3
cmb_cold_spot_dark_energy_tensor,O_0,16854573,4,5,3,1,1,3,1,4,2,4,3,2
