name,tier,crystal_addr,⊢,⊣,>,<,⋈,⊤,∈,∋,⊙,⊥,⊞,⊡
extradimensional_entity,O_inf,16580398,2.00,2.00,-2.00,1.00,1.00,0.00,-1.00,-2.00,2.00,2.00,1.00,1.00
extrauniversal_entity,O_0,11452320,1.00,1.00,-1.00,-2.00,-1.00,-1.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
maximal_system,O_inf,17229118,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,2.00,2.00,1.00,1.00
dark_energy_inflaton_meet,O_0,17012965,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,-1.00,-1.00
de_inf_join,O_0,17012973,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,-1.00
triple_join_de_inf_ax,O_0,17228974,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
quad_join_de_inf_ax_higgs,O_0,17228974,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
all_five_join,O_0,17228974,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
omg_particle,O_0,9112992,1.00,-2.00,1.00,-2.00,1.00,2.00,-1.00,1.00,2.00,-2.00,-1.00,-2.00
wow_signal,O_0,9300288,1.00,-2.00,2.00,-2.00,-1.00,2.00,-1.00,2.00,-1.00,-2.00,-1.00,-2.00
dark_matter_generic,O_0,2844484,-2.00,1.00,-1.00,-2.00,1.00,0.00,1.00,-2.00,-2.00,-2.00,0.00,-2.00
six_meet_de_inf_ax_higgs_grav_dm,O_0,1983360,-2.00,0.00,-1.00,-2.00,1.00,1.00,1.00,-2.00,-2.00,-2.00,-1.00,-2.00
seven_meet_de_inf_ax_higgs_grav_dm_omg,O_0,258240,-2.00,-2.00,-1.00,-2.00,1.00,2.00,1.00,-2.00,-2.00,-2.00,-1.00,-2.00
eight_meet_de_inf_ax_higgs_grav_dm_omg_wow,O_0,229440,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,1.00,-2.00,-2.00,-2.00,-1.00,-2.00
nine_system_meet,O_0,229440,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,1.00,-2.00,-2.00,-2.00,-1.00,-2.00
six_join_de_inf_ax_higgs_grav_dm,O_0,17228974,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
seven_join_de_inf_ax_higgs_grav_dm_omg,O_inf,17229118,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,2.00,2.00,1.00,1.00
eight_join_de_inf_ax_higgs_grav_dm_omg_wow,O_inf,17229118,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,2.00,2.00,1.00,1.00
nine_system_join,O_inf,17229118,2.00,2.00,2.00,1.00,1.00,0.00,-1.00,2.00,2.00,2.00,1.00,1.00
seti_signal_generic,O_0,9300240,1.00,-2.00,2.00,-2.00,-1.00,2.00,-1.00,2.00,-2.00,-2.00,-1.00,-2.00
pulsar_radio,O_1,6578640,-1.00,0.00,1.00,0.00,-1.00,2.00,-1.00,2.00,-2.00,-2.00,-1.00,-2.00
generic_astrophysical_source,O_0,445976,-2.00,-2.00,1.00,-2.00,-1.00,2.00,1.00,1.00,-1.00,-2.00,1.00,-2.00
omg_peeled_D,O_0,472992,-2.00,-2.00,1.00,-2.00,1.00,2.00,-1.00,1.00,2.00,-2.00,-1.00,-2.00
systemic_feminization,O_0,12678561,1.00,2.00,1.00,1.00,0.00,0.00,-1.00,2.00,-1.00,1.00,1.00,-1.00
local_testicular_function,O_0,2849280,-2.00,1.00,-1.00,-2.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
feminization_with_testicular_preservation,O_0,12692961,1.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,1.00,1.00,-1.00
partial_feminization_preserved_testicular,O_0,12548961,1.00,2.00,1.00,-2.00,0.00,0.00,-1.00,2.00,-1.00,1.00,1.00,-1.00
aromatase_thioesterase_ii,O_0,3065760,-2.00,1.00,1.00,-2.00,1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
androgen_binding_sequestration,O_0,2849288,-2.00,1.00,-1.00,-2.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,1.00,-2.00
combined_biochemical_approach,O_0,3065768,-2.00,1.00,1.00,-2.00,1.00,2.00,0.00,1.00,-2.00,-2.00,1.00,-2.00
mystery_material,O_0,4539845,-1.00,-2.00,-1.00,-2.00,-1.00,-1.00,0.00,-2.00,-2.00,-2.00,0.00,-1.00
graphene,O_1,385925,-2.00,-2.00,-1.00,1.00,1.00,2.00,-1.00,-2.00,-2.00,-2.00,0.00,-1.00
iron,O_0,5741829,-1.00,-1.00,1.00,0.00,1.00,1.00,1.00,-2.00,-1.00,-1.00,1.00,-1.00
graphite,O_1,4678084,-1.00,-2.00,-1.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
reduced_graphene_oxide,O_0,4545604,-1.00,-2.00,-1.00,-2.00,-1.00,1.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
quantum_spin_liquid,O_0,5002637,-1.00,-2.00,2.00,-2.00,1.00,0.00,-1.00,-2.00,-1.00,1.00,0.00,-1.00
topological_carbon_allotrope,O_0,4539845,-1.00,-2.00,-1.00,-2.00,-1.00,-1.00,0.00,-2.00,-2.00,-2.00,0.00,-1.00
radical_chemistry_current,O_0,445400,-2.00,-2.00,1.00,-2.00,-1.00,2.00,0.00,2.00,2.00,-2.00,1.00,-2.00
hydroxyl_radical,O_0,445392,-2.00,-2.00,1.00,-2.00,-1.00,2.00,0.00,2.00,2.00,-2.00,-1.00,-2.00
superoxide_radical,O_0,445392,-2.00,-2.00,1.00,-2.00,-1.00,2.00,0.00,2.00,2.00,-2.00,-1.00,-2.00
metamaterial_generic,O_0,4647425,-1.00,-2.00,-1.00,0.00,0.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
paper,O_0,228484,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
plastic,O_0,228484,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
copper,O_1,358084,-2.00,-2.00,-1.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
paper_origami_metamaterial,O_0,4633025,-1.00,-2.00,-1.00,0.00,-1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
plastic_photonic_crystal,O_0,4647425,-1.00,-2.00,-1.00,0.00,0.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
copper_split_ring_resonator,O_0,4647425,-1.00,-2.00,-1.00,0.00,0.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
sand_architected_foam,O_0,4633025,-1.00,-2.00,-1.00,0.00,-1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
water_droplet_lens_array,O_0,4633025,-1.00,-2.00,-1.00,0.00,-1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
salt_crystal_phononic,O_0,4633025,-1.00,-2.00,-1.00,0.00,-1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
common_materials_topo_insulator,O_0,8317518,-1.00,2.00,1.00,0.00,0.00,1.00,-1.00,-2.00,-1.00,1.00,0.00,1.00
ten_sefirot,O_0,6816573,-1.00,0.00,2.00,0.00,1.00,-1.00,1.00,1.00,-1.00,2.00,1.00,-1.00
nine_sefirot,O_1,16580669,2.00,2.00,-2.00,1.00,1.00,0.00,-1.00,1.00,-2.00,1.00,0.00,-1.00
eleven_sefirot,O_inf,16580874,2.00,2.00,-2.00,1.00,1.00,0.00,-1.00,1.00,2.00,2.00,0.00,1.00
chokhmah,O_0,5095501,-1.00,-2.00,2.00,0.00,1.00,2.00,-1.00,2.00,-1.00,-1.00,-1.00,-1.00
word_logos,O_0,17099134,2.00,2.00,2.00,-2.00,1.00,0.00,-1.00,1.00,-1.00,2.00,1.00,1.00
creator_ein_sof,O_0,12260970,1.00,2.00,-2.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,0.00,1.00
word_creator_tensor,O_0,17099374,2.00,2.00,2.00,-2.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
i_ching_hexagrams,O_0,7239905,-1.00,1.00,-1.00,0.00,0.00,1.00,1.00,1.00,-1.00,-1.00,0.00,-1.00
tarot_archetypes,O_0,228728,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,-1.00,-2.00,-2.00,1.00,-2.00
vedic_mandalas,O_0,16580970,2.00,2.00,-2.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,0.00,1.00
meet_sefirot_iching,O_0,7023905,-1.00,1.00,-2.00,0.00,0.00,1.00,1.00,1.00,-1.00,-1.00,0.00,-1.00
three_way_meet,O_0,12724,-2.00,-2.00,-2.00,-2.00,-1.00,2.00,0.00,-1.00,-2.00,-2.00,0.00,-2.00
join_sefirot_iching,O_0,16796730,2.00,2.00,-1.00,1.00,1.00,0.00,-1.00,1.00,-1.00,2.00,0.00,1.00
three_way_join,O_0,16796734,2.00,2.00,-1.00,1.00,1.00,0.00,-1.00,1.00,-1.00,2.00,1.00,1.00
aleph,O_0,2756246,-2.00,1.00,-2.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,2.00,-1.00,1.00
bet,O_1,7239377,-1.00,1.00,-1.00,0.00,0.00,1.00,1.00,-2.00,-2.00,-1.00,0.00,-1.00
gimel,O_0,2388960,-2.00,0.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
dalet,O_0,3252960,-2.00,1.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
hei,O_0,2919421,-2.00,1.00,-1.00,0.00,0.00,1.00,1.00,-2.00,-1.00,-1.00,-1.00,-1.00
zayin,O_0,660972,-2.00,-2.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-1.00,-1.00,-2.00
chet,O_1,7023377,-1.00,1.00,-2.00,0.00,0.00,1.00,1.00,-2.00,-2.00,-1.00,0.00,-1.00
tet,O_0,2429304,-2.00,0.00,2.00,-1.00,-1.00,1.00,0.00,1.00,-2.00,1.00,-1.00,-2.00
yod,O_0,2756246,-2.00,1.00,-2.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,2.00,-1.00,1.00
aleph_bet_meet,O_1,2703373,-2.00,1.00,-2.00,0.00,0.00,1.00,1.00,-2.00,-2.00,-1.00,-1.00,-1.00
kaf,O_1,7239377,-1.00,1.00,-1.00,0.00,0.00,1.00,1.00,-2.00,-2.00,-1.00,0.00,-1.00
lamed,O_0,759900,-2.00,-2.00,2.00,0.00,0.00,1.00,1.00,1.00,-1.00,-1.00,-1.00,-2.00
mem,O_inf,5824158,-1.00,-1.00,1.00,2.00,1.00,0.00,-1.00,2.00,-1.00,1.00,0.00,1.00
nun,O_1,8737920,1.00,-2.00,-2.00,0.00,-1.00,2.00,-1.00,-2.00,-2.00,-2.00,-1.00,-2.00
samech,O_0,2756221,-2.00,1.00,-2.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00
ayin,O_0,2756246,-2.00,1.00,-2.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,2.00,-1.00,1.00
pei,O_0,7686545,-1.00,1.00,2.00,0.00,1.00,1.00,1.00,2.00,-1.00,-1.00,0.00,-1.00
tzadi,O_0,2386092,-2.00,0.00,2.00,-2.00,-1.00,1.00,0.00,1.00,-2.00,-1.00,-1.00,-2.00
kuf,O_0,7292226,-1.00,1.00,-1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,-1.00,0.00,1.00
resh,O_0,228960,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
shin,O_inf,6688170,-1.00,0.00,1.00,2.00,1.00,0.00,-1.00,2.00,-1.00,2.00,0.00,1.00
tav,O_0,7292250,-1.00,1.00,-1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,2.00,0.00,1.00
aleph_bet_meet_result,O_1,2703373,-2.00,1.00,-2.00,0.00,0.00,1.00,1.00,-2.00,-2.00,-1.00,-1.00,-1.00
hebrew_core_structure,O_0,1740480,-2.00,0.00,-2.00,-2.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
shavian_peep,O_0,2388960,-2.00,0.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
shavian_ash,O_1,2734080,-2.00,1.00,-2.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
shavian_ef,O_0,2388960,-2.00,0.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
shavian_em,O_1,2734080,-2.00,1.00,-2.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
shavian_bee,O_0,2388960,-2.00,0.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
shavian_ee,O_1,2734080,-2.00,1.00,-2.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
shavian_tall_tee,O_0,2388960,-2.00,0.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
shavian_deep_dee,O_0,2388960,-2.00,0.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
shavian_consonant_approximant_meet,O_0,228720,-2.00,-2.00,-1.00,-2.00,-1.00,2.00,0.00,-1.00,-2.00,-2.00,-1.00,-2.00
shavian_quintessence,O_0,12480,-2.00,-2.00,-2.00,-2.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
hekhalot_rabbati,O_0,9524721,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,1.00,-1.00,1.00,1.00,-1.00
hekhalot_zutarti,O_0,9524721,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,1.00,-1.00,1.00,1.00,-1.00
sefer_hekhalot,O_0,9524733,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,1.00,-1.00,2.00,1.00,-1.00
maaseh_merkavah,O_0,9524713,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,1.00,-1.00,1.00,-1.00,-1.00
merkavah_rabba,O_0,9524721,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,1.00,-1.00,1.00,1.00,-1.00
shiur_qomah,O_0,9740241,1.00,-1.00,-1.00,-2.00,0.00,0.00,-1.00,-2.00,-1.00,1.00,1.00,-1.00
sar_torah,O_0,9524953,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,2.00,-1.00,1.00,-1.00,-1.00
sefer_harazim,O_0,9740241,1.00,-1.00,-1.00,-2.00,0.00,0.00,-1.00,-2.00,-1.00,1.00,1.00,-1.00
harba_de_moshe,O_0,9740241,1.00,-1.00,-1.00,-2.00,0.00,0.00,-1.00,-2.00,-1.00,1.00,1.00,-1.00
nehuniah_chapter,O_0,9524713,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,1.00,-1.00,1.00,-1.00,-1.00
great_seal_fearsome_crown,O_0,9740241,1.00,-1.00,-1.00,-2.00,0.00,0.00,-1.00,-2.00,-1.00,1.00,1.00,-1.00
sar_panim,O_0,9524953,1.00,-1.00,-2.00,-2.00,0.00,0.00,-1.00,2.00,-1.00,1.00,-1.00,-1.00
tokamak_fusion,O_0,2972226,-2.00,1.00,-1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,-1.00,0.00,1.00
inertial_confinement_fusion,O_0,3195412,-2.00,1.00,1.00,1.00,1.00,2.00,0.00,1.00,-1.00,-2.00,0.00,-2.00
consumer_drone,O_0,660972,-2.00,-2.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-1.00,-1.00,-2.00
fiber_laser_cutting,O_1,3411360,-2.00,1.00,2.00,1.00,1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
ultrafast_laser,O_0,3195410,-2.00,1.00,1.00,1.00,1.00,2.00,0.00,1.00,-1.00,-2.00,-1.00,1.00
stellarator_fusion,O_0,8156238,-1.00,2.00,-1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,1.00,0.00,1.00
directed_energy_weapon,O_0,2416850,-2.00,0.00,2.00,-2.00,1.00,2.00,-1.00,1.00,-1.00,-2.00,-1.00,1.00
maximal_fusion_growth,O_0,17012254,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,2.00,1.00,1.00
maximal_drone_growth,O_0,17012974,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
maximal_laser_growth,O_0,17012974,2.00,2.00,1.00,1.00,1.00,0.00,-1.00,2.00,-1.00,2.00,1.00,1.00
tae_technologies_fusion,O_0,8375122,-1.00,2.00,1.00,1.00,1.00,1.00,-1.00,-2.00,-1.00,1.00,1.00,1.00
commonwealth_fusion,O_0,2972226,-2.00,1.00,-1.00,1.00,1.00,0.00,-1.00,-2.00,-1.00,-1.00,0.00,1.00
zephyr_solar_drone,O_0,9294504,1.00,-2.00,2.00,-2.00,-1.00,0.00,-1.00,2.00,-2.00,1.00,-1.00,-2.00
skydio_autonomous_drone,O_0,8236381,-1.00,2.00,1.00,-2.00,0.00,2.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00
wing_delivery_drone,O_0,660968,-2.00,-2.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,1.00,-2.00
ipg_photonics_fiber_laser,O_1,2978880,-2.00,1.00,-1.00,1.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
coherent_vcsels,O_1,2964484,-2.00,1.00,-1.00,1.00,0.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
quantum_dot_lasers,O_0,7297025,-1.00,1.00,-1.00,1.00,1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
general_fusion,O_0,2979424,-2.00,1.00,-1.00,1.00,1.00,2.00,0.00,1.00,-1.00,-1.00,0.00,-2.00
aluminum,O_1,358084,-2.00,-2.00,-1.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
generic_environment,O_1,358084,-2.00,-2.00,-1.00,1.00,-1.00,2.00,0.00,-2.00,-2.00,-2.00,0.00,-2.00
chronovisor,O_0,12566254,1.00,2.00,1.00,-2.00,1.00,1.00,-1.00,2.00,-1.00,2.00,1.00,1.00
possible_temporal_device,O_0,17001442,2.00,2.00,1.00,1.00,0.00,1.00,-1.00,2.00,-1.00,1.00,1.00,1.00
dji_consumer_drone,O_0,660972,-2.00,-2.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-1.00,-1.00,-2.00
parrot_consumer_drone,O_0,660960,-2.00,-2.00,2.00,-2.00,-1.00,2.00,0.00,1.00,-2.00,-2.00,-1.00,-2.00
nlight_fiber_laser,O_1,2978880,-2.00,1.00,-1.00,1.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
mks_instruments_laser,O_1,2964480,-2.00,1.00,-1.00,1.00,0.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
quantum_cascade_laser_rd,O_0,7297025,-1.00,1.00,-1.00,1.00,1.00,1.00,1.00,-2.00,-1.00,-1.00,0.00,-1.00
holographic_laser_rd,O_0,17015842,2.00,2.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,1.00,1.00,1.00
superconducting_qubits,O_0,257280,-2.00,-2.00,-1.00,-2.00,1.00,2.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
trapped_ion_qubits,O_1,2976000,-2.00,1.00,-1.00,1.00,1.00,1.00,0.00,-2.00,-2.00,-2.00,-1.00,-2.00
photonics_quantum,O_1,775200,-2.00,-2.00,2.00,0.00,1.00,2.00,-1.00,1.00,-2.00,-2.00,-1.00,-2.00
topological_qubits,O_0,8375842,-1.00,2.00,1.00,1.00,1.00,1.00,-1.00,2.00,-1.00,1.00,1.00,1.00
